Term,Description
Preventive services," Preventive services are routine exams, cleanings, and x-rays."
Major services," Major services are dental surgery, endodontics (root canal therapy), periodontics (treatment for gum disease), crowns, and prosthetics (replacement of missing teeth with bridgework or dentures)."
Orthodontia services, These are services for the correction of malpositioned teeth.
Vision care,"Vision care plans provide coverage for the nonsurgical improvement of eyesight, including coverage for eyeglasses and contact lenses. Coverage typically is limited and is subject to applicable copayments or scheduled cash allowances."
Life Insurance Benefits,"Life insurance provides a lump-sum payment to a designated beneficiary or beneficiaries of deceased employees. Companies may provide a basic amount of life insurance benefits, which may vary with an employee's age, income, or occupation. Companies also may allow employees to pay for additional amounts of coverage."
Fixed multiple of earnings benefit plans," These plans link the benefit amount to employee's earnings, usually rounded to a stated dollar amount. This link enables the level of protection to increase automatically as income rises."
Variable multiple of earnings benefit plans," Benefit calculations under these plans use multiples that are based on employee earnings. For example, employees earning up to $50,000 per year might receive a benefit equal to their annual earnings, whereas employees earning more than $50,000 per year might receive twice their annual earnings."
Flat dollar amount benefit plans," These plans provide a fixed life insurance benefit amount. Insurance amounts ranging from $10,000 to $25,000 are common in such plans."
Variable dollar amount benefit plans, These plans provide a dollar amount that varies with an employee's earnings or length of service.
Paid holidays," Holidays are days off from work on days of special religious, cultural, social, or patriotic significance on which work and business ordinarily cease. Employees may receive either full or partial pay for holidays."
Paid vacation," Vacations are leave from work (or pay in lieu of time off) provided on an annual basis and normally taken in blocks of days or weeks. Paid vacations commonly are granted to employees only after they meet specified service requirements. The amount of vacation leave received each year usually varies with length of service. Vacation time off normally is paid at full pay or partial pay, or it may be a percentage of employee earnings."
Paid personal leave," Personal leave is a general purpose leave benefit, used for reasons important to the individual employee, but not otherwise provided for by other forms of leave. Some employers place restrictions on the purposes for which personal leave may be used."
Paid sick leave," Sick leave provides all or part of an employee's earnings if he or she is unable to work because of a non-work-related illness or injury. Employees commonly receive their regular pay for a specified number of days off per year. Sick leave is provided on a per-year basis, usually expressed in days, and is never insured."
Paid military leave, Military leave is paid absence from work to fulfill military commitments. Pay may be either regular pay or the difference between employees' regular earnings and the amount they receive from the military.
Paid funeral leave," Funeral leave provides time off from work because of a death in the family. The period of absence is usually limited to a few days (for example, 3 paid days for immediate family and 1 paid day for other relatives)."
Paid jury duty, Jury duty leave provides a paid absence from work when one is summoned to serve as a juror. Employer payments commonly make up the difference between the employee's regular pay and the court's jury allowance.
Paid family leave," Family leave is granted to an employee to care for a family member and includes paid maternity and paternity leave. The leave may be available to care for a newborn child, an adopted child, a sick child, or a sick adult relative. Paid family leave is given in addition to any sick leave, vacation, personal leave, or short-term disability leave that is available to the employee."
Unpaid family leave," This leave is granted to an employee to care for a family member. The leave may be used to care for a newborn child, an adopted child, a sick child, or a sick adult relative. A typical family leave plan extends leave without pay to an employee for a period of several months while the employee cares for the family member. The Family and Medical Leave Act (FMLA) of 1993 is a Federal law providing unpaid job-protected leave to eligible workers for the care of their families or themselves for specified family and medical conditions. The FMLA provides eligible workers with up to 12 workweeks of unpaid leave per year for the birth, adoption, or foster care placement of a child; care of a spouse, son, daughter, or parent with a serious health condition; or the employee's own serious health condition resulting in an inability to work. Employers with fewer than 50 employees at a worksite (and within 75 miles of that worksite) are excluded from FMLA."
Consolidated leave plans," These are plans that provide a single amount of time off for workers to use for any of a number of purposes, such as vacation, illness, or personal business."
Leisure leave," Access to one or more of the following benefits: paid vacation, paid holidays, and paid personal leave."
Disability Benefits,Disability benefits provide protection against loss of income due to a nonoccupational illness or injury.
Short-term disability,"Short-term disability (STD) plans provide benefits for non-work-related illnesses or accidents on a per-disability basis, typically for a 6-month to 12-month period. Benefits are paid as a percentage of employee earnings or as a flat dollar amount. STD benefits vary with the amount of predisability earnings, length of service with the establishment, or length of disability."
Unfunded salary continuation," The employer pays the benefit from operating revenue, assuming all associated risks and expenses."
Noncommercially insured, The employer is required to have liquid assets corresponding to the projected liability of the plan. These plans must be registered with the Department of Labor and are guaranteed by ERISA. The employer assumes all risks and expenses of providing the benefit.
Commercially insured," The employer pays monthly premiums to an insurance carrier in exchange for the carrier assuming all risks of underwriting a short-term disability policy. The actuarially determined premium is often specified as a rate per $10 of weekly benefit per month. In some cases, the employer contributes a specific amount (often, a number of cents per hour worked for each employee) to a designated union fund that provides welfare benefits."
Long-term disability,"Long-term disability (LTD) plans provide a monthly benefit to eligible employees who, because of a non-work-related illness or injury, are unable to work for an extended length of time. Benefits usually are paid as a fixed percentage of predisability earnings, up to a set limit. Most participants have a waiting period of 3 to 6 months, or until sick leave or STD benefits end, before LTD benefits begin. LTD benefits generally continue until retirement or a specified age, or for a period that varies with the employee's age at the time of the disability."
Flexible work schedule, Permits employees to set their own schedules within a general set of parameters. Employees generally are required to work a minimum number of core hours each day.
Childcare assistance, Provides either the full or partial cost of caring for an employee's children in a nursery or daycare center or by a babysitter. Care can be provided in facilities either on or off the employer's premises.
Flexible workplace," Permits workers to work an agreed-upon portion of their work schedule at home or some other approved location, such as a regional work center. Such arrangements are especially compatible with work requiring the use of computers linking the home or work center to the central office."
Wellness programs," A structured plan, independent from health insurance, that offers employees two or more of the following benefits: smoking cessation programs, exercise/physical fitness programs, weight control programs, nutrition education, hypertension tests, periodic physical examinations, stress management programs, back care courses, and life style assessment tests."
Employee assistance programs (EAPs)," A structured plan, closely related to employee wellness programs, that typically deals with more serious personal problems than the essentially medical problems covered by wellness programs. EAPs can offer referral services, or referral services in combination with counseling services. Both the referral services and the counseling services may be supplied by company personnel, by an outside organization under contract, or by a combination of both."
Health savings accounts (HSAs), Portable accounts owned by employees and used to pay for medical expenses with tax-exempt contributions. HSAs are used in combination with employer-provided high-deductible health plans (HDHPs) with annual maximum limits on out-of-pocket and deductible expenses. Other features include the rollover of unused contributions from year to year and tax-free interest.
Flexible benefit plans," Also known as cafeteria benefit plans, flexible benefit plans are operated under provisions of Section 125 of the Internal Revenue Code. Section 125 allows employees to make a choice between cash (taxable) and noncash (nontaxable) benefits. The code permits companies providing flexible benefit plans to offer employees the following options: accident and health insurance plans, including health care spending accounts; group term life insurance and dependent coverage; disability benefits and accidental death and dismemberment plans; employee contributions to 401(k) plans or other thrift or savings plans (either pretax or after tax); dependent care assistance plans, including spending accounts; vacation days; and group legal services. Flexible benefit plans may be funded solely by the employer or through joint employer-employee contributions. Employers usually grant each employee credits to purchase benefits covered by the plan. Many plans include a core group of benefits (for example, life insurance coverage of $25,000) and allow employees to purchase additional levels of the core benefit as well as benefits not included in the core group. An example would be offering an additional $20,000 in life insurance coverage."
Health care reimbursement accounts," Also known as flexible spending accounts, health care reimbursement accounts can be part of a flexible benefit plan or stand alone. Employees participating in these accounts allocate a declared pretax amount, up to a set limit, for out-of-pocket health care expenses such as deductibles, copayments, coinsurance, and other qualified health care expenses not covered by their health insurance. Any money not used by the end of the plan year is forfeited."
Dependent care reimbursement accounts," Also known as flexible spending accounts, dependent care reimbursement accounts can be part of a flexible benefit plan or stand alone. Employees participating in these accounts allocate a declared pretax amount, up to a set limit, for out-of-pocket qualified expenses, including childcare, elder care, or services to a disabled dependent. Any money not used by the end of the plan year is forfeited."
Pretax savings with no employer contributions," These are cash or deferred arrangements used to fund savings and retirement plans authorized by section 401(k), 403(b), or 457 of the Internal Revenue Code. The employees' contributions reduce their salaries for tax purposes."
Financial planning," A service to help employees make decisions related to savings, borrowing, investing, home purchases, education expenses, and retirement income."
Stock options,Stock option plans allow establishment employees the right to buy company stock at a fixed price by a fixed time. Stock options are available only to employees of for-profit private industry establishments.
Performance," Stock options offered to employees only if certain company performance criteria are met, such as earnings-per-share targets."
Signing, Stock options offered to employees to join a firm by giving them a chance to make a significant capital gain.
Long-term care insurance," A health plan that provides long-term (more than 1 year) custodial care, home care, or nursing home care. Coverage may be extended to active employees, retirees, parents of active employees, or dependents of active employees and retirees. Premiums are generally, though not necessarily, paid by employees. These plans are separate from coverage for extended care facilities or home health care found in health insurance plans that provide posthospitalization benefits for a limited period."
Retiree health care," A health plan that provides coverage to a retiree beyond what is mandated by COBRA or other health continuation laws. Coverage must include provisions typically found in a medical plan, such as hospitalization and doctor's care. The retiree plan does not have to be the same plan provided to active employees, nor does it matter whether the retiree pays the entire premium. Plans that cover only dental, vision, or prescription drugs are not included."
Nonproduction bonuses,Nonproduction bonuses are payments to employees that are not directly related by any formula to individual employee productivity.
Attendance bonus," A payment to employees who achieve a specified attendance goal. For example, all employees who take 2 or fewer days of sick leave within a given year are paid an attendance bonus of $500."
Cash profit sharing, Payment to employees in recognition of their contribution to company profitability. Payments may vary with length of service.
Employee recognition bonus," A payment to employees that rewards performance or significant accomplishments, such as an employee of the month award."
End-of-year bonus, A payment to employees near the end of the year as a sign of appreciation for working hard throughout the year.
Holiday bonus," A payment to employees at a holiday as a sign of appreciation. This payment is usually a token payment, with all employees receiving the same amount."
Payment in lieu of benefits," A payment to employees in lieu of the employer's providing a benefit, such as health care. In some cases, the employer offers cash to employees who waive employer-sponsored benefits, such as sick leave. When this occurs, the employer passes the savings from the waived benefit to the employee."
Safety bonus," A payment to employees for maintaining a high level of safety in the workplace. For example, a department receives a bonus for experiencing no injury days during a quarter."
Suggestion bonus, A payment to employees whose innovative suggestions to create better work processes and improve efficiency in the establishment have been considered or implemented.
Hiring bonus, A payment made by an employer to induce an individual to accept employment with the company.
Longevity bonus," A bonus or a lump-sum payment of some kind (for example, a government savings bond or an add-on to severance pay) paid to employees on the basis of their length of service."
Referral bonus, A payment given to employees for recommending a qualified applicant who is hired by the establishment.
Retention bonus, A payment made by an employer to an incumbent to retain that individual with the establishment.
Union-related bonus, A payment to employees covered by a collective bargaining agreement upon signing a new labor contract or in lieu of a general wage increase.
Management incentive bonus," A payment to managers or supervisors rewarding them for their ability to direct the performance of a group of employees in their charge in the attainment of a specified goal. For example, a manager receives a bonus for having the highest sales."
Other bonus," A payment to employees that is not applicable to other listed nonproduction bonus categories-for example, birthday bonuses and retirement bonuses."
Actual Contribution Percentage (ACP) Test,"In a 401(k) plan, this is the test that is performed to determine
if the employer matching contribution is discriminatory in
favor of the owners and other highly paid employees.
Actual Deferral Percentage (ADP) Test
In a 401(k) plan, this is the test that is performed to determine
if the owners and other highly paid employees’ contributions
are too high in comparison to the other employees. Generally,
the owners and other highly paid employees cannot have an
average 401(k) deferral percentage that is 2% above all of the
other employees that are eligible for the plan. In a traditional
401(k) plan, this is the test that is most often failed resulting
in refunds to the owners and highly paid employees.
"
Bundled Plan,"This is usually available through a large investment company.
This type of arrangement provides that the investment
company will provide all services for the plan, such as
investments, administration, education, and recordkeeping.
An unbundled plan provides a more independent and flexible
approach to the 401(k) plan structure in which the plan
sponsor can individually hire each provider separately.
"
Catch-up Contributions,"In a 401(k) plan, an eligible employee who has attained age
50 can make higher annual contributions to the plan
(an additional $5,500 for 2012).
"
Cross-Tested/New Comparability Plan,"This type of plan allows profit sharing contributions to be
allocated to different employee groups. The general rule is that
the owners must be older than the staff, in order to maximize
the full benefits of cross testing.
Defined Contribution Plan
These types of retirement plans are 401(k), 403(b), ESOP and
Profit Sharing Plans. The employees retirement benefit will
be based on how much is saved.
"
Defined Benefit Plan,"The employer promises a specific monthly benefit upon
retirement.
"
Discrimination Testing,"All tax qualified retirement plans must be administered in
compliance with numerous regulations to comply with IRS
guidelines, every tax qualified retirement plan (like a 401(k))
must pass a number of compliance tests each year. These tests
include the ADP Test, ACP Test, and the Top-heavy Test. The
common term for these tests is called discrimination testing.
"
ERISA,"Employee Retirement Income Security Act. ERISA, passed in
1974, is a comprehensive package dealing with all areas of
pensions and employee benefits. ERISA includes requirements
on pension disclosure, participation standards, vesting rules,
funding, and administration.
"
Fiduciary,"Any person who (a) exercises any discretionary authority or
discretionary control respecting management of the Plan or
exercises any authority or control respecting management of
disposition of its assets, (b) renders investment advice for a fee
or other compensation, direct or indirect, with respect to any
monies or other property of the Plan or has any authority or
responsibility to do so, or (c) has any discretionary authority or
discretionary responsibility in the administration of the Plan.
"
401(k) Plan,"A 401(k) plan is one of the most popular and cost effective
types of employer sponsor retirement plans. This type of plan
gives employees the opportunity to shelter income with pretax
contributions and allows the employer to provide a valuable
benefit as well.
"
403(b) Plan,"A 403(b) is maintained by public school systems and certain
charitable and nonprofit organizations (Section 501(c)(3)).
This type of plan is very similar to a 401(k) plan, but does
not require as much discrimination testing.
"
Highly Compensated Employee (HCE),"A Highly Compensated Employee (HCE) is an employee who
received more than $110,000 (limit for 2012) in compensation
during the last plan year OR is a greater than 5% owner in the
company (including certain family members).
"
In-Service Distribution,"Some plans allow employees that have not terminated
employment to receive a distribution from the retirement plan.
In-service distributions are very restricted by federal law and
most plans.
u In-service distributions of 401(k) contributions (employee
salary reduction contributions) are prohibited by law prior
to age 591/2 .
u In-service distributions of employer contributions are
allowed under some circumstances prior to age 591/2,
but most plans prohibit it.
"
Integration with Social Security,"A plan design option in which contributions are based on
Social Security benefits. Generally, Social Security provides
a greater percentage benefit to lower paid employees,
integration allows the company to increase contributions
to higher paid employees.
"
Non-Elective Contribution,"A type of employer contribution. This type of contribution
does not require an employee to contribute to the plan
(Profit Sharing).
"
Non-Highly Compensated Employee (NHCE),"These employees are sometimes referred to as the “rank and
file”. This group does not include owners or HCEs
(Highly Compensated Employees).
"
Participant Contributions,The money that employees contribute to their 401(k) plan.
Participant Directed Account,Allows plan participants to select their own investment options.
Plan Administrator,"The employer sponsoring the retirement plan. This term is
often confused with “Third Party Administrator” (TPA).
"
Plan Year,The calendar or fiscal year for which plan records are maintained.
Profit Sharing Plan,"A retirement plan that is solely funded by employer
contributions. Profit sharing plans allow employers to choose
annually whether or not they want to make a contribution
to the pension plan
"
Qualified Domestic Relations Order (QDRO),"A judgment, decree or order that creates or recognizes an
alternate payee’s (such as former spouse, child, etc.) right to
receive all or a portion of a participant’s retirement plan benefits.
"
Rollover,"An employee’s retirement fund from an old employer or
qualified IRA.
"
Roth 401(k),"A 401(k) provision feature that allows employees to make
contributions on an after-tax basis. Qualified withdrawals are
generally tax free if made after 5 years and after attaining age 591/2.
"
SPD,"A Summary Plan Description (SPD) is a plain language version of
the plan terms and must be distributed to each plan participant
and to each beneficiary receiving benefits under the plan.
"
Top Heavy,"A retirement plan that primarily benefits “key employees” is called
a “top-heavy plan.” Key employees are certain owners or officers of
the Employer. A plan is generally a “top-heavy plan” when more
than 60% of the plan assets are attributable to key employees.
"
Trustee,"All money that is contributed to the Plan is held in a trust fund.
The Trustees are responsible for the safekeeping of the trust
fund and must hold and invest Plan assets in a prudent manner
and in the best interest of the participants and beneficiaries.
"
Vesting,"Employees typically have to complete a certain number of
years of service with the employer in order to retain the entire
discretionary employer contributions (Profit Sharing and
Employer Matching) contribution to their account. An
employee usually earns a year of vested service after completing
1,000 hours of service for the employer. The plan will stipulate
the required number of years to become 100% vested in the
employer contributions.
"
